정류장순번,정류장,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시
0,명지대,3,2,7,13,12,7,4,3,3,3,2,1,0,0
1,이마트.상공회의소,0,1,1,1,1,1,1,1,1,1,1,0,0,0
2,역북동행정복지센터.신성아파트.명지대승차장,0,0,0,0,1,1,1,1,1,1,1,0,0,0
3,동원로얄듀크.용인등기소,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,시청.용인대역,0,1,0,1,2,1,0,0,0,0,0,0,0,0
5,진우아파트,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6,삼가동.궁촌,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,삼가역.두산위브,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,멱조현풍림아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,용인미르스타디움,0,0,0,0,1,0,0,0,0,3,1,0,0,0
10,화운사입구,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,초당주공3단지후문,0,1,0,0,1,1,1,0,0,0,0,0,0,0
12,초당초등학교.현진에버빌,1,1,1,1,1,1,1,0,0,0,0,0,0,0
13,초당중학교.삼부르네상스아파트,1,1,1,0,1,1,0,0,0,0,0,0,0,0
14,동백경남아너스빌,1,1,1,1,1,1,0,0,0,0,0,0,0,0
15,동백역.성산마을서해그랑블,2,2,2,3,2,3,1,1,1,1,1,0,0,0
16,동백2동행정복지센터,1,1,1,1,1,1,1,0,1,0,0,0,0,0
17,쥬네브상가,1,1,1,0,0,1,0,0,0,0,0,0,0,0
18,동백소방서.동일하이빌.롯데캐슬,2,3,4,2,3,2,1,1,1,1,1,0,0,0
19,동백고.풍림코아루.호수마을서해그랑블,4,5,5,4,4,5,2,1,1,1,2,0,0,0
20,동백중학교,6,5,4,6,6,5,3,1,1,1,1,0,0,0
21,동막초등학교.호수마을계룡리슈빌.어울림,2,3,3,3,4,2,2,1,1,0,0,0,0,0
22,두산위브더제니스.호수마을.자연엔데시앙,5,7,6,6,7,7,5,3,2,1,2,1,0,0
23,동백이마트,6,8,6,9,10,7,4,4,4,4,3,2,0,0
24,어정역,4,5,4,6,9,5,4,2,1,3,2,0,0,0
25,어정풍림아파트,2,3,4,3,4,2,2,1,1,1,0,0,0,0
26,갈천마을,2,2,1,2,2,1,0,0,0,0,0,0,0,0
27,지석역,1,2,1,1,1,1,0,0,1,1,0,0,0,0
28,어정삼거리.강남마을,1,2,2,2,3,1,0,0,0,0,0,0,0,0
29,강남대역.강남대입구,5,15,21,16,26,31,11,8,6,5,5,4,0,0
30,수원컨트리클럽,1,3,5,4,6,5,2,1,2,2,0,0,0,0
31,기흥역,3,10,9,12,19,14,9,4,4,5,4,3,0,0
32,롯데캐슬스카이.이안두드림.백남준아트센터,1,5,5,5,8,7,3,2,2,1,1,1,0,0
33,상미마을.신갈오거리.롯데캐슬레이시티,3,7,6,8,12,10,7,3,3,1,1,1,0,0
34,순천향대학병원,0,0,2,1,2,2,1,1,1,1,0,0,0,0
35,남대문세무서.국가인권위원회,0,0,0,1,0,0,1,1,0,0,0,0,0,0
36,청계2가교차로,0,1,1,1,3,5,7,3,2,2,1,1,0,0
37,조계사,0,2,3,4,6,11,19,9,7,5,4,1,0,0
38,세종문화회관,0,2,7,11,15,27,48,19,13,14,9,4,1,0
39,신한은행본점,0,1,4,6,6,18,38,13,7,5,4,2,1,0
40,서울역버스환승센터(5번승강장)(중),0,3,10,16,20,45,55,37,22,22,21,15,5,0
41,숭례문,0,2,5,7,9,21,20,12,8,7,6,4,1,0
42,명동입구,0,2,14,17,28,53,60,60,34,32,35,15,9,0
43,명동성당,0,1,15,20,28,30,26,42,31,33,31,16,9,0
44,순천향대학병원,0,0,7,10,10,10,4,7,13,10,11,8,4,0
45,상미마을.신갈오거리.롯데캐슬레이시티,0,0,0,1,1,2,4,6,3,1,1,2,2,0
46,롯데캐슬스카이.이안두드림.백남준아트센터,0,0,0,3,2,2,2,1,1,1,0,1,1,0
47,기흥역,0,0,0,3,3,7,8,11,10,5,6,7,8,1
48,수원컨트리클럽,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,강남대역.강남대입구,0,0,0,1,2,3,2,2,1,1,1,1,2,1
50,지석역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,갈천마을.주공아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,어정풍림아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,어정역,0,0,0,0,1,1,1,1,0,0,0,0,1,0
54,동백이마트,0,0,0,1,0,0,1,1,1,1,1,0,1,0
55,평촌마을,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,호수마을.자연앤데시앙.두산위브더제니스,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,호수마을자연앤데시앙.월드메르디앙,0,0,0,0,1,1,1,1,0,1,1,0,0,0
58,동막초등학교.호수마을계룡리슈빌.어울림,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,동백중학교,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,동백고.호수마을서해그랑블.풍림코아루,0,0,0,0,1,0,0,0,1,1,0,0,0,0
61,동백소방서.동일하이빌.롯데캐슬,0,0,0,0,0,1,1,0,1,1,0,0,1,0
62,쥬네브상가,0,0,0,0,0,0,1,0,0,0,1,0,0,0
63,동백2동행정복지센터,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,동백역.성산마을서해그랑블,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,동백경남아너스빌,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,초당중학교.삼부르네상스아파트,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,초당초등학교.현진에버빌,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,초당역,0,0,0,0,1,1,0,0,0,0,0,0,0,0
69,화운사입구,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,용인미르스타디움,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,멱조현풍림아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,삼가역.두산위브,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,진우아파트,0,0,0,0,0,0,1,1,0,0,0,0,0,0
74,시청.용인대역,0,0,0,0,0,0,1,1,0,0,0,0,0,0
75,동원로얄듀크.용인등기소,0,0,0,0,1,0,1,1,0,0,1,0,0,0
76,역북동행정복지센터.럭스나인.명지대승차장,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,이마트.상공회의소,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,명지대,0,0,0,0,0,0,0,0,0,0,0,0,0,0
